question,targetchardistance
N1,706
N2,1723
N3,400
N4,578
N5,1892
N6,305
R1,1031
R2,1836
R3,649
R4,1153
R5,445
R6,1573
S1,1395
S2,1540
S3,1154
S4,1493
S5,1257
S6,715
